Mobile;Radio Call Sign;Date;Latitude;Longitude;Heading;Speed
ABEL (ART);CA3747;14/03/2019 15:32:01;-18.4723;-70.3234;339;0.505
VALENCIA (ART);CB2452;14/03/2019 15:31:48;-20.2045;-70.1527;0;0
EBENEZER II (ART);CB8449;14/03/2019 15:31:36;-39.8809;-73.4223;194;6.006
ARKHOS II (ART);CB6995;14/03/2019 15:31:31;-18.4717;-70.3223;0;0
FRONTERA (TRP);CB7833;14/03/2019 15:31:28;-53.0965;-70.8751;0;0
COYI I (ART);CA5350;14/03/2019 15:31:05;-18.472;-70.3214;0;0
TUAREG I (ART);CB8162;14/03/2019 15:31:03;-18.4728;-70.3232;19;0.505
GOLONDRINA II (ART);CB4527;14/03/2019 15:31:03;-39.8739;-73.3836;294;0
EUGENIO (ART);CA3058;14/03/2019 15:31:03;-41.7874;-73.1501;120;0
SANTA MARIA A (ART);CA3051;14/03/2019 15:31:00;-41.488611;-72.971667;108;0.097
SAN SEBASTIAN I;CB9031;14/03/2019 15:31:00;-41.512778;-72.334722;0;0
ALBORADA (ART);CB8966;14/03/2019 15:30:58;-41.4873;-72.9749;204;0
DON DANILO F;CA6716;14/03/2019 15:30:57;-37.6009;-73.6586;239;0
BUENA FE II (L/B);CB5552;14/03/2019 15:30:51;-39.6595;-74.9142;310;6.492
LOBO DE AFUERA IV (ART);CA3433;14/03/2019 15:30:42;-18.4724;-70.3225;20;0.505
DON MAXI (ART);CA5119;14/03/2019 15:30:34;-37.6016;-73.6574;13;0
DON VICENTE I (ART);CB4407;14/03/2019 15:30:34;-37.6005;-73.659;318;0
UZIEL II (ART);CB7875;14/03/2019 15:30:24;-36.5299;-72.9561;0;0
DON ROBERT (ART);CA2698;14/03/2019 15:30:21;-37.0055;-73.4936;317;8.495
CALYPSO III (L/B);CB3661;14/03/2019 15:30:05;-39.8331;-73.255;329;0
PATRICIA VANESSA (ART);CA3534;14/03/2019 15:30:01;-37.0265;-73.1574;313;0.408
NEFI (L/B);CB7327;14/03/2019 15:30:00;-36.7257;-73.1317;359;0
CARLA BELEN I (L/B);CB7097;14/03/2019 15:30:00;-37.6016;-73.6552;326;0
