Common_Name	Scientific_name	Conservation_estatus
Amur Leopard	Panthera pardus	Critically_Endangered
Black Rhino	Diceros bicornis	Critically_Endangered
Cross	River	Gorilla Gorilla	Critically_Endangered
Hawksbill Turtle	Eretmochelys imbricata	Critically_Endangered
Javan Rhino	Rhinoceros sondaicus	Critically_Endangered
Leatherback Turtle	Dermochelys coriacea	Critically_Endangered
Mountain Gorilla	Gorilla beringei	Critically_Endangered
Sumatran Elephant	Elephas maximus	Critically_Endangered
Sumatran Orangutan	Pongo abelii	Critically_Endangered
Sumatran Rhino	Dicerorhinus sumatrensis	Critically_Endangered
Sumatran Tiger	Panthera tigris	Critically_Endangered
Western Lowland	Gorilla Gorilla	Critically_Endangered
Yangtze Finless	Neophocaena asiaeorientalis	Critically_Endangered
African Wild	Dog Lycaon	Endangered
Amur Tiger	Panthera tigris	Endangered
Asian Elephant	Elephas maximus	Endangered
Bengal Tiger	Panthera tigris	Endangered
Black Spider	Monkey Ateles	Endangered
Blue Whale	Balaenoptera musculus	Endangered
Bluefin Tuna	Thunnus spp	Endangered
Bornean Orangutan	Pongo pygmaeus	Endangered
Borneo Pygmy	Elephant Elephas	Endangered
Eastern Lowland	Gorilla Gorilla	Endangered
Fin Whale	Balaenoptera physalus	Endangered
Gal‡pagos Penguin	Spheniscus mendiculus	Endangered
Ganges River	Dolphin Platanista	Endangered
Giant Panda	Ailuropoda melanoleuca	Endangered
Green Turtle	Chelonia mydas	Endangered
Humphead Wrasse	Cheilinus undulatus	Endangered
Indian Elephant	Elephas maximus	Endangered
Indochinese Tiger	Panthera tigris	Endangered
Indus River	Dolphin Platanista	Endangered
Malayan Tiger	Panthera tigris	Endangered
North Atlantic	Right Whale	Endangered
Sea Lions	Zalophus wollebaeki	Endangered
Sei Whale	Balaenoptera borealis	Endangered
Snow Leopard	Panthera uncia	Endangered
Sri Lankan	Elephant Elephas	Endangered
Tiger Panthera	Panthera tigris	Endangered
