Name;Radio Call Sign (RC);Location date;Latitude;Longitude;Heading;Speed (kt)
HURACAN I (ART);CB7014;19/12/2022 11:02:01;-42.1339;-73.3606;84.0;0.00 kt
HURACAN I (ART);CB7014;19/12/2022 10:47:02;-42.1335;-73.3603;183.0;0.99 kt
HURACAN I (ART);CB7014;18/12/2022 11:17:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 11:32:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 11:47:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 12:02:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 12:17:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 12:32:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 12:47:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 13:02:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 13:17:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 13:32:01;-42.1311;-73.362;342.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 13:47:01;-42.1309;-73.3633;0.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 14:02:01;-42.1309;-73.3632;0.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 14:17:01;-42.1309;-73.3633;59.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 14:32:01;-42.1309;-73.3632;59.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 14:47:01;-42.1309;-73.3632;59.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 15:02:01;-42.1285;-73.3623;92.0;4.99 kt
HURACAN I (ART);CB7014;18/12/2022 15:17:01;-42.1331;-73.3606;0.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 15:32:01;-42.1331;-73.3606;0.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 15:47:01;-42.1331;-73.3607;39.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 16:02:01;-42.1331;-73.3606;39.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 16:17:01;-42.1331;-73.3606;39.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 16:32:01;-42.1331;-73.3606;39.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 16:47:01;-42.1331;-73.3606;39.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 17:02:01;-42.1331;-73.3606;0.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 17:17:01;-42.1331;-73.3607;39.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 17:32:02;-42.1332;-73.3607;39.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 17:47:02;-42.1332;-73.3607;39.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 18:02:01;-42.1331;-73.3607;17.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 18:17:01;-42.1331;-73.3607;17.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 18:32:01;-42.1331;-73.3607;17.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 18:47:01;-42.1331;-73.3607;343.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 19:02:01;-42.133;-73.3605;39.0;2.00 kt
HURACAN I (ART);CB7014;18/12/2022 19:17:01;-42.132;-73.3644;307.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 19:32:01;-42.1118;-73.3702;333.0;8.00 kt
HURACAN I (ART);CB7014;18/12/2022 19:47:01;-42.1042;-73.407;239.0;8.00 kt
HURACAN I (ART);CB7014;18/12/2022 20:02:01;-42.1103;-73.4342;93.0;2.00 kt
HURACAN I (ART);CB7014;18/12/2022 20:17:01;-42.1104;-73.4342;68.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 20:32:01;-42.1103;-73.4342;60.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 20:47:01;-42.1104;-73.4343;237.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 21:02:01;-42.1104;-73.4343;33.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 21:17:01;-42.1104;-73.4342;212.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 21:32:01;-42.1104;-73.4343;206.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 21:47:01;-42.1104;-73.4342;48.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 22:02:01;-42.1103;-73.4341;0.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 22:17:01;-42.1104;-73.4342;221.0;0.00 kt
HURACAN I (ART);CB7014;18/12/2022 22:32:01;-42.1104;-73.4342;0.0;0.00 kt
